Id,Name,Price,Amount,Weight,Description
1,Сет На пляжі,559,800,г,"Філадельфія з лососем в кунжуті, філадельфія з тунцем, каліфорнія темпура. Соєвий соус - 80 мл (2 шт). Імбир - 30 г. Васабі - 15 г."
2,Сет Спокуса,649,740,г,"Філадельфія з лососем, каліфорнія з вугрем в кунжуті, кранч з креветкою. Соєвий соус - 100 мл (2 шт). Імбир - 30 г. Васабі - 15 г."
3,Сет Гурман,599,870,г,"Філадельфія з лососем, кранч з креветкою, каліфорнія з копченим лососем в кунжуті, макі з тунцем. Соєвий соус - 150 мл (3 шт). Імбир - 40 г. Васабі - 20 г."
4,Сет Саме Те,999,1370,г,"Філадельфія з лососем, кранч з креветкою, каліфорнія з лососем в кунжуті, каліфорнія з крабовим міксом в кунжуті, футомакі з лососем (гострий), макі з лососем.  Соєвий соус - 200 мл (4 шт). Імбир - 60 г. Васабі - 30 г."
5,Сет Вигідний,1299,1760,г,"Філадельфія з креветкою, філадельфія з лососем в кунжуті, філадельфія з тунцем в кунжуті, каліфорнія з крабовим міксом в ікрі, каліфорнія з крабовим міксом в кунжуті, футомакі з лососем (гострий), макі з лососем, макі з тунцем.  Соєвий соус - 250 мл (5 шт). Імбир - 80 г. Васабі - 40 г."
6,Сет Сімейний,1499,2050,г,"Філадельфія з лососем, філадельфія з креветкою, каліфорнія з лососем в кунжуті, каліфорнія темпура, кранч з креветкою, макі з лососем, макі з креветкою, фелікс рол з тунцем, ніжний з лососем.  Соєвий соус - 300 мл (6 шт). Імбир - 90 г. Васабі - 45 г."
7,Сет Імператорський,2299,3000,г,"Філадельфія з лососем, філадельфія з креветкою, філадельфія з вугрем, філадельфія з копченим лососем в кунжуті, філадельфія з тунцем в кунжуті, рол з лососем та огірком, каліфорнія з вугрем в кунжуті, каліфорнія з крабовим міксом в ікрі, каліфорнія з крабовим міксом в кунжуті, кранч з креветкою, футомакі з лососем (гострий), макі з лососем. Соєвий соус - 400 мл (8 шт). Імбир - 120 г. Васабі - 60 г."
8,Сет Фаворит,1899,2250,г,"Філадельфія з лососем, філадельфія з креветкою, філадельфія з тунцем, філадельфія з тунцем в кунжуті, кранч з креветкою, футомакі з лососем (гострий), запечений з крабовим міксом, темпура рол з лососем, темпура рол з тунцем. Соєвий соус - 300 мл (6 шт). Імбир - 90 г. Васабі - 45 г."
9,Сет Мальдіви,899,1320,г,"Ніжний з лососем, каліфорнія темпура, темпура рол з лососем, запечений з креветкою, запечений з тунцем (гострий). Соєвий соус - 150 мл (3 шт). Імбир - 50 г. Васабі - 25 г."
10,Філадельфія з лососем,229,270,г,"Рис, лосось, крем сир, авокадо, огірок, норі"
11,Каліфорнія з лососем в кунжуті,169,230,г,"Рис, лосось, авокадо, огірок, кунжут, норі"
12,Каліфорнія з лососем в ікрі,249,230,г,"Рис, лосось, авокадо, огірок, ікра тобіко, норі"
13,Ніжний з вугрем,249,270,г,"Рис, вугор, сирний соус, салат айсберг, крем сир, соус унагі, норі"
14,Золотий дракон,349,270,г,"Рис, вугор, авокадо, огірок, кунжут, крабовий мікс, соус унагі, норі"
15,Футомакі з креветкою в темпурі,199,260,г,"Рис, креветка темпура, крем сир, огірок, болгарський перець, норі"
16,Макі з лососем,99,130,г,"Рис, лосось, норі"
