Id,Name,Price,Amount,Weight,Description
1,Каліфорнія темпура,169,270,г,"Рис, крабовий мікс, кляр темпура, авокадо, огірок, сухарі панко, болгарський перець, норі"
2,Каліфорнія з лососем в ікрі,249,230,г,"Рис, лосось, авокадо, огірок, ікра тобіко, норі"
3,Каліфорнія з крабовим міксом в ікрі,219,230,г,"Рис, крабовий мікс, авокадо, огірок, ікра тобіко, норі"
4,Каліфорнія з лососем в кунжуті,169,230,г,"Рис, лосось, авокадо, огірок, кунжут, норі"
5,Каліфорнія з копченим лососем в кунжуті,219,220,г,"Рис, копчений лосось, авокадо, огірок, кунжут, норі"
6,Каліфорнія з вугрем в кунжуті,249,220,г,"Рис, вугор, авокадо, огірок, кунжут, норі"
7,Каліфорнія з крабовим міксом в кунжуті,129,230,г,"Рис, крабовий мікс, авокадо, огірок, кунжут, норі"
1,Філадельфія з лососем,229,270,г,"Рис, лосось, крем сир, авокадо, огірок, норі"
2,Філадельфія з вугрем,399,270,г,"Рис, вугор, авокадо, крем сир, огірок, соус унагі, кунжут, норі"
3,Філадельфія з тунцем,299,270,г,"Рис, тунець, крем сир, авокадо, огірок, норі"
4,Філадельфія з креветкою,299,260,г,"Рис, креветка, огірок, авокадо, крем сир, ікра тобіко, соус чилі гарлик, спеція фурікаке, норі"
5,Темпура рол з лососем,249,200,г,"Рис, лосось, краб мікс, авокадо, кляр темпура, соус чилі гарлик, сухарі панко, спеція фурікаке, норі"
6,Темпура рол з вугрем,299,250,г,"Рис, вугор, ікра тобіко, крем сир, огірок, соус унагі, сухарі панко, кляр темпура, норі"
7,Кранч з креветкою,269,250,г,"Рис, креветка темпура, ікра тобіко, кляр темпура, огірок, соус унагі, норі"
8,Каліфорнія темпура,169,270,г,"Рис, крабовий мікс, кляр темпура, авокадо, огірок, сухарі панко, болгарський перець, норі"
9,Червоний Дракон,299,280,г,"Рис, лосось, авокадо, огірок, майонез, крабовий мікс, ікра тобіко, норі"
10,Зелений Дракон,349,280,г,"Рис, вугор, авокадо, огірок, цибуля дигідрована, крабовий мікс, соус унагі, норі"
11,Рол з лососем та огірком,289,280,г,"Рис, лосось, огірок, цибуля дигідрована, крабовий мікс, майонез, ікра тобіко, норі"
12,Філадельфія Гурман,399,290,г,"Рис, лосось, вугор, ікра тобіко, крем сир, норі"
13,Ніжний з лососем,199,270,г,"Рис, лосось, сирний соус, салат айсберг, крем сир, соус унагі, норі"
14,Ніжний з вугрем,249,270,г,"Рис, вугор, сирний соус, салат айсберг, крем сир, соус унагі, норі"
15,Запечений з крабовим міксом,159,280,г,"Рис, крабовий мікс, салат айсберг, сирний соус, болгарський перець, кунжут, огірок, норі"
16,Запечений з креветкою,219,300,г,"Рис, креветка темпура, салат айсберг, сирний соус, болгарський перець, кунжут, огірок, норі"
17,Філадельфія з лососем в кунжуті,199,260,г,"Рис, лосось, крем сир, авокадо, кунжут, огірок, норі"
18,Філадельфія з копченим лососем в кунжуті,229,250,г,"Рис, копчений лосось, крем сир, авокадо, кунжут, огірок, норі"
19,Філадельфія з вугрем в кунжуті,299,250,г,"Рис, вугор, крем сир, авокадо, кунжут, огірок, норі"
20,Філадельфія з тунцем в кунжуті,219,260,г,"Рис, тунець, крем сир,авокадо, кунжут, огірок, норі"
21,Золотий дракон,349,270,г,"Рис, вугор, авокадо, огірок, кунжут, крабовий мікс, соус унагі, норі"
22,Філадельфія з копченим лососем,319,260,г,"Рис, копчений лосось, крем сир, авокадо, огірок, норі"
23,Каліфорнія з лососем в ікрі,249,230,г,"Рис, лосось, авокадо, огірок, ікра тобіко, норі"
24,Каліфорнія з крабовим міксом в кунжуті,129,230,г,"Рис, крабовий мікс, авокадо, огірок, кунжут, норі"
25,Каліфорнія з лососем в кунжуті,169,230,г,"Рис, лосось, авокадо, огірок, кунжут, норі"
26,Каліфорнія з копченим лососем в кунжуті,219,220,г,"Рис, копчений лосось, авокадо, огірок, кунжут, норі"
27,Каліфорнія з вугрем в кунжуті,249,220,г,"Рис, вугор, авокадо, огірок, кунжут, норі"
28,Каліфорнія з крабовим міксом в ікрі,219,230,г,"Рис, крабовий мікс, авокадо, огірок, ікра тобіко, норі"
29,Рол Футомакі з лососем (гострий),219,260,г,"Рис, лосось, соус Шрірача, салат айсберг, огірок, крабовий мікс, норі"
