Id,Name,Price,Amount,Weight,Description
1,Сет На пляжі,559,800,г,"Філадельфія з лососем в кунжуті, філадельфія з тунцем, каліфорнія темпура. Соєвий соус - 80 мл (2 шт). Імбир - 30 г. Васабі - 15 г."
2,Сет Незламний,649,1040,г,"Філадельфія з лососем, каліфорнія з лососем в кунжуті, футомакі з креветкою у темпурі, запечений з крабовим міксом. Соєвий соус - 150 мл (3 шт). Імбир - 40 г. Васабі - 20 г."
3,Сет Гурман,549,950,г,"Філадельфія з лососем, каліфорнія темпура, запечений з крабовим міксом, макі з тунцем. Соєвий соус - 150 мл (3 шт). Імбир - 40 г. Васабі - 20 г."
4,Сет Саме Те,949,1450,г,"Філадельфія з лососем, каліфорнія з лососем в кунжуті, каліфорнія темпура, макі з лососем, кранч з креветкою, запечений з креветкою.  Соєвий соус - 200 мл (4 шт). Імбир - 60 г. Васабі - 30 г."
5,Сет Вигідний,1199,1810,г,"Філадельфія з креветкою, філадельфія з лососем в кунжуті, філадельфія з тунцем в кунжуті, каліфорнія з крабовим міксом в ікрі, футомакі з лососем (гострий), макі з лососем, макі з тунцем, запечений з крабовим міксом.  Соєвий соус - 250 мл (5 шт). Імбир - 80 г. Васабі - 40 г."
6,Сет Сімейний,1399,2050,г,"Філадельфія з лососем, філадельфія з креветкою, каліфорнія з лососем в кунжуті, каліфорнія темпура, кранч з креветкою, макі з лососем, макі з креветкою, фелікс рол з тунцем, ніжний з лососем.  Соєвий соус - 300 мл (6 шт). Імбир - 90 г. Васабі - 45 г."
7,Сет Імператорський,1999,3000,г,"Філадельфія з лососем, філадельфія з вугрем, філадельфія з креветкою, філадельфія з тунцем в кунжуті, каліфорнія з крабовим міксом в ікрі, каліфорнія з вугрем в кунжуті, каліфорнія темпура, рол з лососем та огірком, кранч з креветкою, макі з лососем, футомакі з лососем (гострий), ніжний з лососем. Соєвий соус - 400 мл (8 шт). Імбир - 120 г. Васабі - 60 г."
8,Філадельфія з лососем,199,270,г,"Рис, лосось, крем сир, авокадо, огірок, норі"
9,Філадельфія з лососем в кунжуті,169,260,г,"Рис, лосось, крем сир, авокадо, кунжут, огірок, норі"
10,Каліфорнія з лососем в ікрі,219,230,г,"Рис, лосось, авокадо, огірок, ікра тобіко, норі"
11,Каліфорнія з лососем в кунжуті,169,230,г,"Рис, лосось, авокадо, огірок, кунжут, норі"
12,Золотий дракон,269,270,г,"Рис, вугор, авокадо, огірок, кунжут, крабовий мікс, соус унагі, норі"
13,Червоний Дракон,259,280,г,"Рис, лосось, авокадо, огірок, майонез, крабовий мікс, ікра тобіко, норі"
